Date,Receipt_Number,Reference,Voucher_Type,Party_Ledger_Name,Ledger_Parent,Amount_Received,State_Name
01-05-2026,,,Receipt,MEENAKSHI AGRO PRODUCT,MILLTEC DEBTORS,9560.0,
01-05-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,9560.0,
01-05-2026,,,Receipt,ELLIOT FACILITY MANAGEMENT PVT LTD,Calcutta Debtors,92640.0,
01-05-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,92640.0,
02-05-2026,,,Receipt,"Khordo Palasi Ma Annapurna Rice Product Pvt.Ltd,",MILLTEC DEBTORS,20302.0,
02-05-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,20302.0,
02-05-2026,,,Receipt,DHUMABATI FOOD PROCESSING PVT LTD,MILLTEC DEBTORS,585000.0,
02-05-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,585000.0,
03-05-2026,,,Receipt,SUDARSHAN RICE MILL,MILLTEC DEBTORS,12400.0,
03-05-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,12400.0,
04-05-2026,,,Receipt,SIDDHA GALAXIA SERVICES,Calcutta Debtors,51920.0,
04-05-2026,,,Receipt,Incometax Deducted At Source,Direct Expenses,440.0,
04-05-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,51480.0,
04-05-2026,,,Receipt,Aquatherm Utility Services,Loans (Liability),150000.0,
04-05-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,150000.0,
04-05-2026,,,Receipt,Sri Kanheya Agro Products,ORISSA DEBTORS,23600.0,
04-05-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,23600.0,
04-05-2026,,,Receipt,RADHASHYAM INDUSTRIES PVT. LTD.,MILLTEC DEBTORS,57638.0,
04-05-2026,,,Receipt,BANK OF BARODA - 96960500000027 (CC),Bank Accounts,57638.0,
04-05-2026,,,Receipt,Aquatherm Utility Services,Loans (Liability),250000.0,
04-05-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,250000.0,
04-05-2026,,,Receipt,Buroraj Rice Mill,MILLTEC DEBTORS,33223.0,
04-05-2026,,,Receipt,HDFC BANK A/C.NO. 50200044388590,Bank Accounts,33223.0,
