Date,Voucher_Number,Reference,Category,Category_Type,Voucher_Type,Ledger_Name,Ledger_Parent,Amount,State_Name
02-05-2026,P/073/MM/26,073/MSP/26-27,MSP,Sales,Sales,PALLI BANDHU RICE MILL,MILLTEC DEBTORS,829.0,West Bengal
02-05-2026,P/074/MM/26,074/MSP/26-27,MSP,Sales,Sales,THE MUNSHI RICE MILL,MILLTEC DEBTORS,14000.0,West Bengal
02-05-2026,P/075/MM/26,075/MSP/26-27,MSP,Sales,Sales,SHREE GOURI SHANKAR RICE MILL,MILLTEC DEBTORS,127.0,West Bengal
02-05-2026,P/076/MM/26,076/MSP/26-27,MSP,Sales,Sales,SHIVSHAKTI ANAMBALA AGRO UDYOG,MILLTEC DEBTORS,156875.0,West Bengal
02-05-2026,P/077/MM/26,077/MSP/26-27,MSP,Sales,Sales,PURBABARDHAMAN AGRO PRIVATE LIMITED,MILLTEC DEBTORS,106645.0,West Bengal
02-05-2026,P/078/MM/26,078/MSM/26-27,MSM,Sales,Sales,Shyama Maa Food Processing Pvt. Ltd.,MILLTEC DEBTORS,552034.0,West Bengal
02-05-2026,P/079/MM/26,079/MSM/26-27,MSM,Sales,Sales,AVION TRADE LINKS PVT.LTD.,MILLTEC DEBTORS,557627.0,West Bengal
02-05-2026,P/080/MM/26,080/MSP/26-27,MSP,Sales,Sales,Smritikona Agro Products Pvt. Ltd.,MILLTEC DEBTORS,4407.0,West Bengal
04-05-2026,P/081/MM/26,081/MSM/26-27,MSM,Sales,Sales,MONJILA RICE MILL,MILLTEC DEBTORS,2316949.0,Assam
05-05-2026,P/082/MM/26,082/MSP/26-27,MSP,Sales,Sales,Goodpoint Agro Products Pvt.Ltd.,MILLTEC DEBTORS,33380.0,West Bengal
05-05-2026,P/083/MM/26,083/MSP/26-27,MSP,Sales,Sales,AMBIKA AGRO INDUSTRIES,MILLTEC DEBTORS,20860.0,West Bengal
05-05-2026,P/084/MM/26,074/MSP/26-27,MSP,Sales,Sales,B.K.AGRO PRODUCTS,MILLTEC DEBTORS,391961.0,West Bengal
06-05-2026,P/085/MM/26,085/MSP/26-27,MSP,Sales,Sales,HEMRAJ RICE MILL,Burdwan Debtors,196350.0,West Bengal
06-05-2026,P/086/MM/26,086/MSP/26-27,MSP,Sales,Sales,RADHASHYAM INDUSTRIES PVT. LTD.,MILLTEC DEBTORS,40250.0,West Bengal
06-05-2026,P/087/MM/26,087/MSP/2627,MSP,Sales,Sales,Ma Dashabhuja Rice Mill,MILLTEC DEBTORS,1652.54,West Bengal
06-05-2026,P/088/MM/26,088/MSP/26-27,MSP,Sales,Sales,SRI GOPAL AGRO PRODUCT FARM,MILLTEC DEBTORS,77930.0,West Bengal
07-05-2026,P/089/MM/26,089/MSP/26-27,MSP,Sales,Sales,MAA AMBIKA AGROTECH PRIVATE LIMITED,MILLTEC DEBTORS,146850.0,West Bengal
07-05-2026,P/090/MM/26,090/MSP/26-27,MSP,Sales,Sales,ANNADATA AGRO PRODUCTS,MILLTEC DEBTORS,48950.0,West Bengal
07-05-2026,P/091/MM/26,091/MSP/26-27,MSP,Sales,Sales,Sri Ram Rice Mill,MILLTEC DEBTORS,5992.0,West Bengal
07-05-2026,P/024/KOL/26-27,P/024/KES/26-27,KES,Sales,Sales,ANNAPURNA KNITTINGS,Burdwan Debtors,14264.0,West Bengal
07-05-2026,P/025/KOL/26-27,P/025/KES/26-27,KES,Sales,Sales,KAESER COMPRESSOR (INDIA) PVT. LTD.,Calcutta Debtors,22083.0,Maharashtra
07-05-2026,P/026/KOL/26-27,P/026/KES/26-27,KES,Sales,Sales,PRAGATI AGRI PRODUCTS PVT LTD,Burdwan Debtors,5136.0,West Bengal
08-05-2026,P/092/MM/26,092/MSP/26-27,MSP,Sales,Sales,PARIMAL KUMAR,MILLTEC DEBTORS,1186.44,West Bengal
08-05-2026,P/093/MM/26,093/MSP/26-27,MSP,Sales,Sales,AMBIKA AGRO INDUSTRIES,MILLTEC DEBTORS,1830.0,West Bengal
08-05-2026,P/094/MM/26,094/MSP/26-27,MSP,Sales,Sales,M/S SHIVRAJ RICE MILL,MILLTEC DEBTORS,76170.0,West Bengal
08-05-2026,P/095/MM/26,095/MSP/26-27,MSP,Sales,Sales,Royja Industries Pvt. Ltd,MILLTEC DEBTORS,83600.0,West Bengal
09-05-2026,P/096/MM/26,096/MSP/26-27,MSP,Sales,Sales,SITA MAA RICE MILL,MILLTEC DEBTORS,16220.0,West Bengal
09-05-2026,P/097/MM/26,097/MSP/26-27,MSP,Sales,Sales,TIRUPATI RICE MILL,MILLTEC DEBTORS,1975.0,West Bengal
11-05-2026,P/098/MM/26,098/MSM/26-27,MSM,Sales,Sales,B SHANKAR RICE INDUSTRIES PRIVATE LIMITED,MILLTEC DEBTORS,800000.0,West Bengal
11-05-2026,P/099/MM/26,099/MSM/26-27,MSM,Sales,Sales,MOTHER FOOD PRODUCT,MILLTEC DEBTORS,614407.0,West Bengal
11-05-2026,P/100/MM/26,100/MSM/26-27,MSM,Sales,Sales,MAHADEVILAXMI TRADING PRIVATE LIMITED,MILLTEC DEBTORS,4509558.0,West Bengal
11-05-2026,P/101/MM/26,101/MSP/26-27,MSP,Sales,Sales,DHANIKHALI AGRO PRODUCTS PVT. LTD.,Burdwan Debtors,24000.0,West Bengal
11-05-2026,P/102/MM/26,102/MSP/26-27,MSP,Sales,Sales,Smritikona Agro Products Pvt. Ltd.,MILLTEC DEBTORS,54910.0,West Bengal
11-05-2026,P/103/MM/26,103/MSP/26-27,MSP,Sales,Sales,SUBHAM RICE MILL PRIVATE LIMITED,MILLTEC DEBTORS,2570.0,West Bengal
11-05-2026,P/104/MM/26,104/MSP/26-27,MSP,Sales,Sales,BABA BAGHRYA RAI RICE MILL,MILLTEC DEBTORS,32788.0,West Bengal
11-05-2026,P/105/MM/26,105/MSP/26-27,MSP,Sales,Sales,"Khordo Palasi Ma Annapurna Rice Product Pvt.Ltd,",MILLTEC DEBTORS,50400.0,West Bengal
11-05-2026,P/027/KOL/26-27,P/027/KES/26-27,KES,Sales,Sales,DHANLAXMI INDUSTRIES PVT LTD,MILLTEC DEBTORS,4585.0,West Bengal
11-05-2026,P/028/KOL/26-27,P/028/KES/26-27,KES,Sales,Sales,SAS CARD BOARD PVT. LTD.,Burdwan Debtors,58721.0,West Bengal
11-05-2026,P/029/KOL/26-27,P/029/KES/26-27,KES,Sales,Sales,TASSEL TEXTILE,Calcutta Debtors,22204.0,West Bengal
12-05-2026,P/106/MM/26,106/MSP/26-27,MSP,Sales,Sales,Souvik Nandi,MILLTEC DEBTORS,13674.0,West Bengal
12-05-2026,P/107/MM/26,107/MSP/26-27,MSP,Sales,Sales,TARA SHANKARI AGRO,MILLTEC DEBTORS,4030.0,West Bengal
12-05-2026,P/108/MM/26,108/MSP/26-27,MSP,Sales,Sales,MAA GANDHESWARI RICE MILL PRIVATE LIMITED,MILLTEC DEBTORS,57550.0,West Bengal
12-05-2026,P/109/MM/26,109/MSP/26-27,MSP,Sales,Sales,AMAR BANGLA RICE MILL,MILLTEC DEBTORS,2150.0,West Bengal
12-05-2026,P/110/MM/26,110/MSP/26-27,MSP,Sales,Sales,AMARESH RICE MILL,MILLTEC DEBTORS,758.5,West Bengal
13-05-2026,P/111/MM/26,111/MSP/26-27,MSP,Sales,Sales,KHANDAGHOSH RICE MILL,MILLTEC DEBTORS,33280.0,West Bengal
13-05-2026,P/112/MM/26,112/MSP/26-27,MSP,Sales,Sales,DHARMARAJ RICE MILL,MILLTEC DEBTORS,68600.0,West Bengal
13-05-2026,P/113/MM/26,113/MSP/2627,MSP,Sales,Sales,Mery Rice Mill,MILLTEC DEBTORS,51542.0,West Bengal
14-05-2026,P/114/MM/26,114/MSP/26-27,MSP,Sales,Sales,Notun Bangla Rice Mill Pvt. Ltd,MILLTEC DEBTORS,44540.0,West Bengal
14-05-2026,P/115/MM/26,115/MSP/26-27,MSP,Sales,Sales,Novatech Agro Products Private Limited,MILLTEC DEBTORS,22016.0,West Bengal
14-05-2026,P/116/MM/26,116/MSM/26-27,MSM,Sales,Sales,KHANDAGHOSH RAKSHAKALI RICE MILL,MILLTEC DEBTORS,17797.0,West Bengal
14-05-2026,P/117/MM/26,117/MSP/26-27,MSP,Sales,Sales,ABHIMANYU GUPTA,MILLTEC DEBTORS,39477.0,West Bengal
14-05-2026,P/118/MM/26,118/MSP/26-27,MSP,Sales,Sales,J S RICE MILL,MILLTEC DEBTORS,22450.0,West Bengal
14-05-2026,P/119/MM/26,119/MSP/26-27,MSP,Sales,Sales,Goodpoint Agro Products Pvt.Ltd.,MILLTEC DEBTORS,115800.0,West Bengal
14-05-2026,P/030/KOL/26-27,P/030/WTS/26-27,WTS,Sales,Sales,GRASIM INDUSTRIES LIMITED,Calcutta Debtors,18533.0,West Bengal
15-05-2026,P/120/MM/26,120/MSP/26-27,MSP,Sales,Sales,SHUBHAM AGRITECH PRIVATE LIMITED,MILLTEC DEBTORS,1240.0,West Bengal
15-05-2026,P/121/MM/26,121/MSP/26-27,MSP,Sales,Sales,RADHASHYAM INDUSTRIES PVT. LTD.,MILLTEC DEBTORS,48000.0,West Bengal
15-05-2026,P/122/MM/26,122/MSP/26-27,MSP,Sales,Sales,HEMRAJ RICE MILL,Burdwan Debtors,172370.0,West Bengal
15-05-2026,P/123/MM/26,123/MSP/26-27,MSP,Sales,Sales,DHARMARAJ RICE MILL PVT.LTD,MILLTEC DEBTORS,1555.0,West Bengal
15-05-2026,P/124/MM/26,124/MSP/26-27,MSP,Sales,Sales,DUTTA AGRO PRODUCTS PRVATE LIMITED,MILLTEC DEBTORS,37800.0,West Bengal
15-05-2026,P/125/MM/26,125/MSP/26-27,MSP,Sales,Sales,KEDARNATH FOOD PRODUCTS,MILLTEC DEBTORS,27960.0,West Bengal
15-05-2026,P/126/MM/26,126/MSP/25-26,MSP,Sales,Sales,Smritikona Agro Products Pvt. Ltd.,MILLTEC DEBTORS,42907.0,West Bengal
16-05-2026,P/127/MM/26,127/MSP/26-27,MSP,Sales,Sales,RAMKRISHNA RICE MILL (P) LTD,Burdwan Debtors,60545.0,West Bengal
18-05-2026,P/128/MM/26,128/MSP/26-27,MSP,Sales,Sales,MANGALAM RICE MILL PVT. LTD.,MILLTEC DEBTORS,53020.0,West Bengal
18-05-2026,P/129/MM/26,129/MSP/26-27,MSP,Sales,Sales,SAHALAL RICE MILL PRIVATE LIMITED,MILLTEC DEBTORS,62840.0,West Bengal
18-05-2026,P/130/MM/26,130/MSP/26-27,MSP,Sales,Sales,SITARAM FOOD PRODUCTS PVT.LTD.,MILLTEC DEBTORS,2593.0,West Bengal
18-05-2026,P/131/MM/26,131/MSP/26-27,MSP,Sales,Sales,Subha Laxmi Rice Mills Pvt Ltd,MILLTEC DEBTORS,7190.0,West Bengal
18-05-2026,P/132/MM/26,132/MSP/26-27,MSP,Sales,Sales,M/S SHIVRAJ RICE MILL,MILLTEC DEBTORS,56610.0,West Bengal
18-05-2026,P/133/MM/26,133/MSP/26-27,MSP,Sales,Sales,RADHA DAMODAR RICE MILL,MILLTEC DEBTORS,30015.0,West Bengal
18-05-2026,P/134/MM/26,134/MSM/26-27,MSM,Sales,Sales,DASGHARA AGRO PRODUCT,MILLTEC DEBTORS,338983.0,West Bengal
18-05-2026,P/135/MM/26,135/MSM/26-27,MSM,Sales,Sales,Pinak Agro Products,MILLTEC DEBTORS,593220.0,West Bengal
18-05-2026,P/136/MM/26,136/MSM/26-27,MSM,Sales,Sales,BABA BHOLANATH FOOD PRODUCT,MILLTEC DEBTORS,377119.0,West Bengal
19-05-2026,P/137/MM/26,137/MSP/26-27,MSP,Sales,Sales,SRI GOPAL AGRO PRODUCT FARM,MILLTEC DEBTORS,14650.0,West Bengal
19-05-2026,P/138/MM/26,138/MSP/26-27,MSP,Sales,Sales,Basudevpur Agro Products Pvt.Ltd.,MILLTEC DEBTORS,28305.0,West Bengal
19-05-2026,P/139/MM/26,139/MSP/26-27,MSP,Sales,Sales,JAMINI RICE MILL,MILLTEC DEBTORS,10600.0,West Bengal
19-05-2026,P/140/MM/26,140/MSP/26-27,MSP,Sales,Sales,SRI DURGAMATA RICE MILL PVT. LTD.,MILLTEC DEBTORS,48950.0,West Bengal
19-05-2026,P/031/KOL/26-27,P/031/KES/26-27,KES,Sales,Sales,Shiv Industries Food Pvt.Ltd,Burdwan Debtors,153789.0,West Bengal
